moment,q0,q10,q50,q90,q100,corrected
2019-01-14T00:00Z,-8.88978473659515345,-8.88493956414108155,-8.8560825822219833,-8.83525111894531179,-8.79313957706451355,-8.85867536114660759
2019-01-15T00:00Z,-8.87809680210876451,-8.87595555139007431,-8.85682492113113184,-8.82600408477249054,-8.72770431446075357,-8.85107774246088397
2019-01-16T00:00Z,-8.88721934345245224,-8.88638777156219462,-8.87801353136444149,-8.68636187925720193,-8.45715031098937864,-8.83635503433465885
2019-01-17T00:00Z,-8.91609370134735002,-8.91001599275054801,-8.89368500237274162,-8.85077598310546776,-8.82829447416686897,-8.88809589888268547
2019-01-18T00:00Z,-8.91173463574981639,-8.91127252939376646,-8.89907891899490266,-8.35200444524841146,-7.94451924859619041,-8.78680357476139129
2019-01-19T00:00Z,-8.93527479104614208,-8.92682947681503158,-8.91386605281066835,-8.46637018491516002,-8.05782643190002368,-8.81223735265477615
2019-01-20T00:00Z,-8.93204121616363445,-8.92652582715835408,-8.88223406807327365,-7.27416740717773269,-6.70577309910583352,-8.53379342635615679
2019-01-21T00:00Z,-8.87630229178619246,-8.87305469938507052,-8.85662889783096219,-7.65799298744811896,-7.15755237721252335,-8.50162674095503235
2019-01-22T00:00Z,-8.86847049822235078,-8.86711180254363995,-8.854744610286712,-7.79215314853973151,-7.17663245523071147,-8.56827134029706272
2019-01-23T00:00Z,-8.86966594860076896,-8.86680444863586281,-8.86186061935043412,-7.6916627513610818,-7.13130473493957417,-8.58129693212540801
2019-01-24T00:00Z,-8.86131806341552597,-8.86064824878540058,-8.83826718820190393,-7.54859382337951601,-7.03832769448852424,-8.48757684259573608
2019-01-25T00:00Z,-8.83692402873229987,-8.83238993606872569,-8.82473324911117452,-8.29236170115279947,-7.82892938429260177,-8.67799779773489455
2019-01-26T00:00Z,-8.85419666094970559,-8.84829068385925233,-8.83383049967956424,-8.37525031617431637,-8.19193551263427722,-8.73250849997107181
2019-01-27T00:00Z,-8.87026761368560734,-8.86252116760711672,-8.85187529119109939,-8.40681628276824711,-8.21852825575256318,-8.74543239662281913
2019-01-28T00:00Z,-8.8376918205642685,-8.83226865165328867,-8.8266883121910098,-8.7402788872726429,-8.52701724179077125,-8.80047481350485405
2019-01-29T00:00Z,-8.83948801561736985,-8.83651379514770596,-8.83133140075683443,-8.68362295659026984,-8.47199128388214007,-8.79402021322600014
2019-01-30T00:00Z,-8.83076585731506292,-8.82663861305465502,-8.81653736614608619,-8.44115409987640319,-8.14479576528930593,-8.73717386143080432
2019-01-31T00:00Z,-8.82685794831085069,-8.82575373421020437,-8.81804057054519674,-8.79390835873184074,-8.74729090127563325,-8.81198181241687095
2019-02-01T00:00Z,-8.83780624475097554,-8.83640896592330805,-8.8300534526634209,-8.81026497240676854,-8.74858649569702074,-8.82499129791291637
2019-02-02T00:00Z,-8.8489862520446767,-8.84758178605651757,-8.8412215977935773,-8.77774242657928383,-8.53400193137359508,-8.81430900628058112
2019-02-03T00:00Z,-8.85590518816375649,-8.85339625787582207,-8.84799952209854013,-8.71439007682571187,-8.33621647070312477,-8.7973758981688821
2019-02-04T00:00Z,-8.85449916222381539,-8.85281099818420358,-8.84425946425628595,-8.19327935702667176,-7.71803202433776825,-8.70596658767636633
2019-02-05T00:00Z,-8.84903273760986231,-8.84381171756591655,-8.83016872960281418,-8.13186068550262142,-7.60546010629272473,-8.67394051566648017
2019-02-06T00:00Z,-8.84245574396514833,-8.83872618479995786,-8.82272247888946382,-8.52514392427444356,-8.14644494876098513,-8.746054687873837
2019-02-07T00:00Z,-8.84338624201965295,-8.83943465017623886,-8.83254828520202651,-8.31204919229431205,-8.03406546633911134,-8.70178633095232712
2019-02-08T00:00Z,-8.83407969879913324,-8.82915693709029981,-8.81133149985122621,-8.36620589865875175,-8.09703728622436536,-8.70478653049516637
2019-02-09T00:00Z,-8.85271342120361204,-8.84385482408371004,-8.81645920142364403,-8.80111506707687319,-8.79084735814666729,-8.81809584479808706
2019-02-10T00:00Z,-8.87298816563415471,-8.86697953462219068,-8.84493053980255084,-8.8347447933586114,-8.82694087749481149,-8.84739428986119947
2019-02-11T00:00Z,-8.89457846913909833,-8.87952839626541035,-8.8539261338729851,-8.83854201177062926,-8.82296475999450536,-8.85662628588295142
2019-02-12T00:00Z,-8.89233410385131684,-8.8915410667556749,-8.85916770839309642,-8.84254895320434464,-8.8012324416275014,-8.86341642197545276
